Name,Latitude,Longitude
's Gravenbrakel,50.605079,4.137662
's Hertogenbosch,51.69042,5.294278
Aalst,50.942813,4.039653
Aalst-Kerrebroek,50.948377,4.024407
Aalter,51.092295,3.447848
Aarlen,49.68053,5.809971
Aarschot,50.984406,4.824043
Aarsele,50.98446,3.418363
Aat,50.626932,3.777429
Agde,43.317498,3.4658
Aime-la-Plagne,45.554202,6.648394
Aiseau,50.429529,4.584552
Aix-en-Provence TGV,43.53333,5.433333
Aken Hbf,50.770832,6.105275
Akren,50.733095,3.847086
Albertville,45.673624,6.383617
Alken,50.886837,5.292866
Amay,50.546011,5.32049
Ampsin,50.539215,5.289729
Amsterdam CS,52.35,4.916667
Andenne,50.496759,5.094699
Anderlecht,50.8179,4.2918
Angleur,50.613152,5.599695
Annappes,50.633333,3.15
Ans,50.661208,5.509704
Anseremme,50.238023,4.90553
Antibes,43.586618,7.1201361
Antoing,50.569626,3.451309
Antwerpen-Berchem,51.19923,4.432221
Antwerpen-Centraal,51.2172,4.421101
Antwerpen-Dam,51.231991,4.426238
Antwerpen-Haven,51.289968,4.379086
Antwerpen-Luchtbal,51.244132,4.425029
Antwerpen-Noorderdokken,51.261643,4.427906
Antwerpen-Oost,51.207357,4.436392
Antwerpen-Zuid,51.197828,4.390259
Anzegem,50.826385,3.495014
Appelterre,50.813063,3.972108
Arcaden,50.809722,4.398333
Arras,50.28683,2.78169
Ascq,50.616666,3.166666
Asse,50.906488,4.207985
Assesse,50.368133,5.022839
Athus,49.563346,5.828947
Athus-Frontiere,49.551749,5.824932
Aubange,49.564093,5.79806
Aubange-Frontiere-Luxembourg,49.549455,5.826307
Aulnoye-Aymeries,50.19744,3.843413
Auvelais,50.449197,4.630532
Avignon TGV,43.95,4.816667
Aye,50.224135,5.301091
Aywaille,50.472938,5.672499
Aéroport Charles-de-Gaulle TGV,49.003955,2.571123
Baasrode-Zuid,51.019437,4.153492
Baisieux,50.6,3.25
Balegem-Dorp,50.919612,3.791425
Balegem-Zuid,50.90051,3.80587
Balen,51.169099,5.164986
Bambrugge,50.913769,3.935711
Barvaux,50.349417,5.501542
Bas-Oha,50.52263,5.190937
Bascharage-Sanem,49.55836,5.923742
Basse-Wavre,50.72442,4.621651
Bastenaken-Noord,50.006919,5.720744
Bastenaken-Zuid,49.999737,5.709858
Bazel,47.547408,7.590716
Beauraing,50.11443,4.95684
Beernem,51.128009,3.329892
Beersel,50.766616,4.302605
Beervelde,51.08753,3.879384
Begijnendijk,51.021972,4.800338
Beignée,50.333893,4.406305
Bellem,51.083908,3.487374
Belsele,51.150994,4.088608
Bergen,50.453854,3.942542
Beringen,51.050603,5.235892
Berlaar,51.113662,4.638811
Berlin Hbf,52.525589,13.369548
Berlin Lichtenberg,52.5097,13.4965
Bertrange Strassen,49.613002,6.060601
Bertrix,49.852835,5.267193
Berzée,50.285603,4.405909
Beuzet,50.534208,4.748533
Beveren,51.208336,4.25952
Beverlo,51.087719,5.234373
Bierges-Walibi,50.707772,4.594746
Bierset-Awans,50.65861,5.460551
Bilzen,50.868643,5.50938
Binche,50.408764,4.172451
Bissegem,50.825845,3.224205
Blandain-Frontiere,50.61749,3.26373
Blankenberge,51.312432,3.133864
Blanmont,50.619453,4.636393
Blaton,50.505461,3.666304
Bleret,50.685065,5.286394
Bockstael,50.87943,4.348513
Boechout,51.16348,4.494489
Bokrijk,50.955812,5.408386
Bomal,50.376798,5.519304
Booischot,51.037344,4.773478
Boom,51.090713,4.360694
Boondaal,50.801665,4.393387
Boortmeerbeek,50.981853,4.5739
Bordeaux Saint Jean,44.8256102,-0.5557068
Bordet,50.877785,4.410026
Borgworm,50.694549,5.249475
Bornem,51.099225,4.240526
Bosvoorde,50.794698,4.408112
Bourg-Saint-Maurice,45.618826,6.771664
Boussu,50.436388,3.797025
Bouwel,51.165764,4.746511
Bracquegnies,50.474457,4.126345
Breda,51.594459,4.7764
Bressoux,50.643967,5.611057
Brugelette,50.594229,3.852551
Brugge,51.197226,3.216726
Brugge-Sint-Pieters,51.223115,3.201795
Brussel-Centraal,50.845658,4.356801
Brussel-Congres,50.852067,4.362051
Brussel-Kapellekerk,50.841127,4.347866
Brussel-Luxemburg,50.838943,4.373674
Brussel-Noord,50.859663,4.360846
Brussel-Schuman,50.843276,4.380722
Brussel-West,50.848552,4.321042
Brussel-Zuid,50.835707,4.336531
Brussels Airport - Zaventem,50.896456,4.482076
Buda,50.907495,4.417074
