timestamp,zone,total
01/02/2023 00:00:00,Gare de Namur,212
01/02/2023 01:00:00,Gare de Namur,227
01/02/2023 02:00:00,Gare de Namur,230
01/02/2023 03:00:00,Gare de Namur,248
01/02/2023 04:00:00,Gare de Namur,239
01/02/2023 05:00:00,Gare de Namur,293
01/02/2023 06:00:00,Gare de Namur,383
01/02/2023 07:00:00,Gare de Namur,2519
01/02/2023 08:00:00,Gare de Namur,1553
01/02/2023 09:00:00,Gare de Namur,1465
01/02/2023 10:00:00,Gare de Namur,1409
01/02/2023 11:00:00,Gare de Namur,1767
01/02/2023 12:00:00,Gare de Namur,2239
01/02/2023 13:00:00,Gare de Namur,1830
01/02/2023 14:00:00,Gare de Namur,1518
01/02/2023 15:00:00,Gare de Namur,1519
01/02/2023 16:00:00,Gare de Namur,1414
01/02/2023 17:00:00,Gare de Namur,1312
01/02/2023 18:00:00,Gare de Namur,1053
01/02/2023 19:00:00,Gare de Namur,818
01/02/2023 20:00:00,Gare de Namur,750
01/02/2023 21:00:00,Gare de Namur,590
01/02/2023 22:00:00,Gare de Namur,499
01/02/2023 23:00:00,Gare de Namur,413
02/02/2023 00:00:00,Gare de Namur,227
02/02/2023 01:00:00,Gare de Namur,232
02/02/2023 02:00:00,Gare de Namur,215
02/02/2023 03:00:00,Gare de Namur,261
02/02/2023 04:00:00,Gare de Namur,256
02/02/2023 05:00:00,Gare de Namur,307
02/02/2023 06:00:00,Gare de Namur,371
02/02/2023 07:00:00,Gare de Namur,2581
02/02/2023 08:00:00,Gare de Namur,1815
02/02/2023 09:00:00,Gare de Namur,1533
02/02/2023 10:00:00,Gare de Namur,1567
02/02/2023 11:00:00,Gare de Namur,1708
02/02/2023 12:00:00,Gare de Namur,1940
02/02/2023 13:00:00,Gare de Namur,1698
02/02/2023 14:00:00,Gare de Namur,1730
02/02/2023 15:00:00,Gare de Namur,1834
02/02/2023 16:00:00,Gare de Namur,1800
02/02/2023 17:00:00,Gare de Namur,1453
02/02/2023 18:00:00,Gare de Namur,1190
02/02/2023 19:00:00,Gare de Namur,1059
02/02/2023 20:00:00,Gare de Namur,871
02/02/2023 21:00:00,Gare de Namur,631
02/02/2023 22:00:00,Gare de Namur,528
02/02/2023 23:00:00,Gare de Namur,433
03/02/2023 00:00:00,Gare de Namur,451
03/02/2023 01:00:00,Gare de Namur,381
03/02/2023 02:00:00,Gare de Namur,300
03/02/2023 03:00:00,Gare de Namur,290
03/02/2023 04:00:00,Gare de Namur,261
03/02/2023 05:00:00,Gare de Namur,302
03/02/2023 06:00:00,Gare de Namur,327
03/02/2023 07:00:00,Gare de Namur,2421
03/02/2023 08:00:00,Gare de Namur,1627
03/02/2023 09:00:00,Gare de Namur,1517
03/02/2023 10:00:00,Gare de Namur,1363
03/02/2023 11:00:00,Gare de Namur,1557
03/02/2023 12:00:00,Gare de Namur,1775
03/02/2023 13:00:00,Gare de Namur,1883
03/02/2023 14:00:00,Gare de Namur,1972
03/02/2023 15:00:00,Gare de Namur,2591
03/02/2023 16:00:00,Gare de Namur,2320
03/02/2023 17:00:00,Gare de Namur,1636
03/02/2023 18:00:00,Gare de Namur,1160
03/02/2023 19:00:00,Gare de Namur,877
03/02/2023 20:00:00,Gare de Namur,640
03/02/2023 21:00:00,Gare de Namur,570
03/02/2023 22:00:00,Gare de Namur,468
03/02/2023 23:00:00,Gare de Namur,400
04/02/2023 00:00:00,Gare de Namur,211
04/02/2023 01:00:00,Gare de Namur,213
04/02/2023 02:00:00,Gare de Namur,190
04/02/2023 03:00:00,Gare de Namur,221
04/02/2023 04:00:00,Gare de Namur,206
04/02/2023 05:00:00,Gare de Namur,240
04/02/2023 06:00:00,Gare de Namur,291
04/02/2023 07:00:00,Gare de Namur,299
04/02/2023 08:00:00,Gare de Namur,424
04/02/2023 09:00:00,Gare de Namur,421
04/02/2023 10:00:00,Gare de Namur,370
04/02/2023 11:00:00,Gare de Namur,770
04/02/2023 12:00:00,Gare de Namur,943
04/02/2023 13:00:00,Gare de Namur,966
04/02/2023 14:00:00,Gare de Namur,691
04/02/2023 15:00:00,Gare de Namur,922
04/02/2023 16:00:00,Gare de Namur,840
04/02/2023 17:00:00,Gare de Namur,758
04/02/2023 18:00:00,Gare de Namur,841
04/02/2023 19:00:00,Gare de Namur,540
04/02/2023 20:00:00,Gare de Namur,356
04/02/2023 21:00:00,Gare de Namur,320
04/02/2023 22:00:00,Gare de Namur,218
04/02/2023 23:00:00,Gare de Namur,234
05/02/2023 00:00:00,Gare de Namur,205
05/02/2023 01:00:00,Gare de Namur,240
05/02/2023 02:00:00,Gare de Namur,223
05/02/2023 03:00:00,Gare de Namur,223
05/02/2023 04:00:00,Gare de Namur,197
05/02/2023 05:00:00,Gare de Namur,229
05/02/2023 06:00:00,Gare de Namur,215
05/02/2023 07:00:00,Gare de Namur,230
05/02/2023 08:00:00,Gare de Namur,233
05/02/2023 09:00:00,Gare de Namur,300
05/02/2023 10:00:00,Gare de Namur,275
05/02/2023 11:00:00,Gare de Namur,309
05/02/2023 12:00:00,Gare de Namur,330
05/02/2023 13:00:00,Gare de Namur,532
05/02/2023 14:00:00,Gare de Namur,490
05/02/2023 15:00:00,Gare de Namur,371
05/02/2023 16:00:00,Gare de Namur,305
05/02/2023 17:00:00,Gare de Namur,583
05/02/2023 18:00:00,Gare de Namur,596
05/02/2023 19:00:00,Gare de Namur,716
05/02/2023 20:00:00,Gare de Namur,612
05/02/2023 21:00:00,Gare de Namur,287
05/02/2023 22:00:00,Gare de Namur,210
05/02/2023 23:00:00,Gare de Namur,213
06/02/2023 00:00:00,Gare de Namur,193
06/02/2023 01:00:00,Gare de Namur,158
06/02/2023 02:00:00,Gare de Namur,159
06/02/2023 03:00:00,Gare de Namur,185
06/02/2023 04:00:00,Gare de Namur,194
06/02/2023 05:00:00,Gare de Namur,273
06/02/2023 06:00:00,Gare de Namur,383
06/02/2023 07:00:00,Gare de Namur,2540
06/02/2023 08:00:00,Gare de Namur,1769
06/02/2023 09:00:00,Gare de Namur,1542
06/02/2023 10:00:00,Gare de Namur,1454
06/02/2023 11:00:00,Gare de Namur,1588
06/02/2023 12:00:00,Gare de Namur,1395
06/02/2023 13:00:00,Gare de Namur,1698
06/02/2023 14:00:00,Gare de Namur,1626
06/02/2023 15:00:00,Gare de Namur,2018
06/02/2023 16:00:00,Gare de Namur,2009
06/02/2023 17:00:00,Gare de Namur,1426
06/02/2023 18:00:00,Gare de Namur,938
06/02/2023 19:00:00,Gare de Namur,734
06/02/2023 20:00:00,Gare de Namur,656
06/02/2023 21:00:00,Gare de Namur,504
06/02/2023 22:00:00,Gare de Namur,432
06/02/2023 23:00:00,Gare de Namur,376
07/02/2023 00:00:00,Gare de Namur,318
07/02/2023 01:00:00,Gare de Namur,238
07/02/2023 02:00:00,Gare de Namur,243
07/02/2023 03:00:00,Gare de Namur,254
07/02/2023 04:00:00,Gare de Namur,272
07/02/2023 05:00:00,Gare de Namur,317
07/02/2023 06:00:00,Gare de Namur,396
07/02/2023 07:00:00,Gare de Namur,2949
07/02/2023 08:00:00,Gare de Namur,1836
07/02/2023 09:00:00,Gare de Namur,1822
07/02/2023 10:00:00,Gare de Namur,1763
07/02/2023 11:00:00,Gare de Namur,1737
07/02/2023 12:00:00,Gare de Namur,1986
07/02/2023 13:00:00,Gare de Namur,1699
07/02/2023 14:00:00,Gare de Namur,1819
07/02/2023 15:00:00,Gare de Namur,2274
07/02/2023 16:00:00,Gare de Namur,1936
07/02/2023 17:00:00,Gare de Namur,1227
07/02/2023 18:00:00,Gare de Namur,1041
07/02/2023 19:00:00,Gare de Namur,987
07/02/2023 20:00:00,Gare de Namur,692
07/02/2023 21:00:00,Gare de Namur,496
07/02/2023 22:00:00,Gare de Namur,490
07/02/2023 23:00:00,Gare de Namur,413
08/02/2023 00:00:00,Gare de Namur,1472
08/02/2023 01:00:00,Gare de Namur,922
08/02/2023 02:00:00,Gare de Namur,284
08/02/2023 03:00:00,Gare de Namur,297
08/02/2023 04:00:00,Gare de Namur,322
08/02/2023 05:00:00,Gare de Namur,338
08/02/2023 06:00:00,Gare de Namur,362
